1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: FA0000002B98F121
Is Mission Active?  false
Mission Start:  Mon Sep 07 11:32:00 MSK 2015
Sample Rate:  Every 1 minute(s)
Number of Mission Samples:  1665
Total Samples:  109713
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
07.09.15 15:34:00,C,23,5
07.09.15 15:35:00,C,23,5
07.09.15 15:36:00,C,23,5
07.09.15 15:37:00,C,23,5
07.09.15 15:56:00,C,23,5
07.09.15 15:57:00,C,23,5
07.09.15 15:58:00,C,24
07.09.15 15:59:00,C,24
07.09.15 16:00:00,C,0
07.09.15 16:01:00,C,4
07.09.15 16:02:00,C,5
07.09.15 16:03:00,C,6
07.09.15 16:04:00,C,15
07.09.15 16:05:00,C,20
07.09.15 16:06:00,C,24
07.09.15 16:07:00,C,24
07.09.15 16:08:00,C,24
07.09.15 16:09:00,C,24
07.09.15 16:10:00,C,24
07.09.15 16:11:00,C,24,5
07.09.15 16:12:00,C,24
07.09.15 16:13:00,C,21,5
07.09.15 16:14:00,C,19
07.09.15 16:15:00,C,18,5
07.09.15 16:16:00,C,18
07.09.15 16:17:00,C,18
07.09.15 16:18:00,C,18
07.09.15 16:19:00,C,18
07.09.15 16:20:00,C,18
07.09.15 16:27:00,C,18
07.09.15 16:47:00,C,18
07.09.15 16:48:00,C,18
07.09.15 16:49:00,C,18
07.09.15 16:50:00,C,18
07.09.15 16:51:00,C,17,5
07.09.15 16:52:00,C,17,5
07.09.15 16:53:00,C,17,5
07.09.15 16:54:00,C,17,5
07.09.15 16:55:00,C,17,5
07.09.15 16:56:00,C,17
07.09.15 16:57:00,C,17
07.09.15 16:58:00,C,17
07.09.15 16:59:00,C,16,5
07.09.15 17:00:00,C,16,5
07.09.15 17:01:00,C,16,5
07.09.15 17:02:00,C,16
07.09.15 17:03:00,C,16
07.09.15 17:04:00,C,16
07.09.15 17:05:00,C,15,5
07.09.15 17:06:00,C,15,5
07.09.15 17:07:00,C,15,5
07.09.15 17:08:00,C,15
07.09.15 17:09:00,C,15
07.09.15 17:10:00,C,15
07.09.15 17:11:00,C,14,5
07.09.15 17:12:00,C,14,5
07.09.15 17:13:00,C,14,5
07.09.15 17:14:00,C,14
07.09.15 17:15:00,C,14
07.09.15 17:16:00,C,14
07.09.15 17:17:00,C,13,5
07.09.15 17:18:00,C,13,5
07.09.15 17:19:00,C,13,5
07.09.15 17:20:00,C,13,5
07.09.15 17:21:00,C,13
07.09.15 17:22:00,C,13
07.09.15 17:23:00,C,13
07.09.15 17:24:00,C,12,5
07.09.15 17:25:00,C,12,5
07.09.15 17:26:00,C,12,5
07.09.15 17:27:00,C,12,5
07.09.15 17:28:00,C,12
07.09.15 17:29:00,C,12
07.09.15 17:30:00,C,12
07.09.15 17:31:00,C,12
07.09.15 17:32:00,C,11,5
07.09.15 17:33:00,C,11,5
07.09.15 17:34:00,C,11,5
07.09.15 17:35:00,C,11,5
07.09.15 17:36:00,C,11
07.09.15 17:37:00,C,11
07.09.15 17:38:00,C,11
07.09.15 17:39:00,C,11
07.09.15 17:40:00,C,10,5
07.09.15 17:41:00,C,10,5
07.09.15 17:42:00,C,10,5
07.09.15 17:43:00,C,10,5
07.09.15 17:44:00,C,10,5
07.09.15 17:45:00,C,10
07.09.15 17:46:00,C,10
07.09.15 17:47:00,C,10
07.09.15 17:48:00,C,10
07.09.15 17:49:00,C,10
07.09.15 17:50:00,C,9,5
07.09.15 17:51:00,C,9,5
07.09.15 17:52:00,C,9,5
07.09.15 17:53:00,C,9,5
07.09.15 17:54:00,C,9,5
07.09.15 17:55:00,C,9,5
07.09.15 17:56:00,C,9
07.09.15 17:57:00,C,10
07.09.15 17:58:00,C,10
07.09.15 17:59:00,C,12
07.09.15 18:00:00,C,9
07.09.15 18:01:00,C,9
07.09.15 18:02:00,C,8,5
07.09.15 18:03:00,C,8,5
07.09.15 18:04:00,C,8,5
07.09.15 18:05:00,C,8,5
07.09.15 18:06:00,C,8,5
07.09.15 18:07:00,C,8,5
07.09.15 18:08:00,C,8,5
07.09.15 18:09:00,C,6
07.09.15 18:10:00,C,5
07.09.15 18:11:00,C,-6
07.09.15 18:12:00,C,7
07.09.15 18:13:00,C,0
07.09.15 18:14:00,C,0
07.09.15 18:15:00,C,0
07.09.15 18:16:00,C,7,5
07.09.15 18:17:00,C,7,5
07.09.15 18:18:00,C,7,5
07.09.15 18:19:00,C,7,5
07.09.15 18:20:00,C,7,5
07.09.15 18:21:00,C,7,5
07.09.15 18:22:00,C,7,5
07.09.15 18:23:00,C,7,5
07.09.15 18:24:00,C,7
07.09.15 18:25:00,C,7
07.09.15 18:26:00,C,7
07.09.15 18:27:00,C,9
07.09.15 18:28:00,C,8
07.09.15 18:29:00,C,7
07.09.15 18:30:00,C,7
07.09.15 18:31:00,C,7
07.09.15 18:32:00,C,7
07.09.15 18:33:00,C,6,5
07.09.15 18:34:00,C,6,5
07.09.15 18:35:00,C,6,5
